"freq,spdepm,spscheme,spdepb,sex,unit,geo\TIME_PERIOD",2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
"A,TOTAL,TOTAL,ERRC,T,PER,EA21",1553911 p,1590327 e,1644039 e,1653560 e,1678786 e,1692844 e,1689908 e,1690290 e,1686958 e,1671958 e,1646636 e,1613196 e
"A,TOTAL,TOTAL,ERRC,T,PER,EU27_2020",2185566 p,2191289 e,2219252 e,2205063 e,2199475 e,2185126 e,2157867 e,2145575 e,2131138 e,2105876 e,2086069 e,2066163 e
"A,TOTAL,TOTAL,ERRC,T,PER,FI",0 ,: ,0 ,0 ,0 ,0 ,5 ,15 ,62 ,75 ,104 ,147 
"A,TOTAL,TOTAL,ERRC,T,PER,FR",26000 p,24000 ,21000 ,18635 ,16260 ,14272 ,12669 ,11000 ,9664 ,8223 ,7212 ,6781 
"A,TOTAL,TOTAL,ERRC,T,PER,HU",13265 ,4153 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,ERRC,T,PER,IS",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"A,TOTAL,TOTAL,ERRC,T,PER,IT",57888 ,56180 ,55124 ,53657 ,51978 ,51714 ,53734 ,55270 ,52706 ,50302 ,47817 ,45483 
"A,TOTAL,TOTAL,ERRC,T,PER,LT",0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,ERRC,T,PER,LU",3296 ,3923 ,4623 ,4879 ,4659 ,4174 ,3742 ,3506 ,3346 ,3144 ,2932 ,2961 
"A,TOTAL,TOTAL,ERRC,T,PER,MT",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"A,TOTAL,TOTAL,ERRC,T,PER,NO",0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,ERRC,T,PER,PL",13916 ,10550 ,10278 ,8767 ,7350 ,3161 ,2472 ,1544 ,988 ,638 ,363 ,470 
"A,TOTAL,TOTAL,ERRC,T,PER,PT",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: 
"A,TOTAL,TOTAL,ERRC,T,PER,RO",358894 e,350151 ,337887 ,323932 ,302979 ,283044 ,261278 ,242100 ,215304 ,198065 ,187117 ,186882 
"A,TOTAL,TOTAL,ERRC,T,PER,SE",0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,ERRC,T,PER,SI",0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,ERRC,T,PER,TR",0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,ERRC,T,PER,UK",: ,819 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,ERRC,T,PER,XK",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1736 p,1412 p
